,term,sum_weights
2329,physically,8.832428921018897
81,2016,8.822184428786594
2283,party,8.807268618052015
1143,didnt,8.79966738860893
1658,hurt,8.793617051893627
2166,notification,8.735197076804075
2308,performed,8.714131876150798
962,correctly,8.700505198656328
24,1300,8.689470698514208
1015,damaged,8.683557390464863
2456,prove,8.68005455710994
1524,ga,8.671095478430187
2865,sign,8.659561650741855
3094,think,8.655958322188537
2682,requisite,8.625076336583287
2739,returned,8.622433119251708
1858,lates,8.615663592266923
3291,violates,8.595689344045194
806,collect,8.587615530279757
2713,responded,8.56612760514141
1891,let,8.562059308732103
1739,individual,8.55073665732456
3316,wanted,8.543387960953375
3374,wrongfully,8.523973116841278
2489,pursue,8.515081465252377
813,college,8.49229956750642
3313,wallet,8.46506227279913
386,additional,8.461828046043392
2712,respond,8.456402960644775
624,belongs,8.419221706261046
2328,physical,8.41873444309982
143,3500,8.387911760971194
1273,employment,8.384811526548361
591,bad,8.342070198024606
2153,non,8.339648072531352
1095,delinquents,8.33799989599278
2747,reviewing,8.279187452673638
2171,notify,8.272396001244452
2531,receipt,8.261284427578422
534,assistance,8.249602663698063
447,alerted,8.246026724565676
2931,ss,8.243265201605045
2499,quickly,8.21159751004208
3255,valid,8.205863602713785
543,assure,8.196103231864518
62,180,8.163688409670417
1777,instead,8.1633892545097
1089,deletion,8.152658440637166
2565,reference,8.124382689593455
2675,requests,8.09715620176481
684,buying,8.092085049842748
2313,permanently,8.082678401639626
1125,despite,8.078029023544335
2691,reseller,8.047020998833718
2446,promptly,8.018426219689418
1952,long,7.995091967857933
1835,keeps,7.982504312454764
3256,validate,7.973019877994
1812,isn,7.96877019254352
936,contracts,7.8991518022356315
2417,procedures,7.895266768737832
2450,properly,7.879273949737651
3052,taking,7.8758041331331015
423,affiliated,7.873129074565206
2729,resulted,7.865007542672628
550,attempt,7.861929861104829
1215,doubt,7.839800187716509
109,2600,7.822848601819079
1840,knew,7.807636574525065
1985,major,7.763551794309748
1623,highly,7.72276708644568
704,care,7.7212538804436495
3143,transferred,7.69312341894055
2850,shocked,7.6891385785947
2569,refinance,7.686657772292261
1445,finally,7.622948936594117
2309,period,7.56349408168316
16,11000,7.560883084917983
1882,left,7.544297351681272
28,1400,7.5345748271278925
1249,effects,7.51459551165795
1497,frca,7.500080215005492
1532,general,7.48719412461441
82,2017,7.480352936504233
2022,measures,7.4761101904808935
551,attempted,7.443712156684542
1402,familiar,7.443040406229657
2496,question,7.435475318576265
2340,plan,7.434554165424849
3341,wife,7.424666190027942
229,616,7.397045186439433
73,2000,7.392558084127253
1418,fdcpa,7.391683940968377
612,bearing,7.391220088315474
3359,working,7.388425572946418
1756,initiated,7.378503289882756
1466,follow,7.370590176074208
1227,drivers,7.361719391052814
1599,haven,7.346972975319842
374,actions,7.328829496335468
1632,hold,7.317029325454189
3271,verbal,7.311929159853758
3139,trans,7.3100102472584885
1264,embarrassing,7.294497762908529
577,avail,7.282442995508806
2480,purchased,7.281376605908714
2614,relationship,7.266662036346223
2069,missed,7.212914376310431
2704,resolution,7.19671901776654
882,confirmed,7.187898540395997
2719,responsibility,7.176749936494185
847,complaints,7.149722719546959
1153,direct,7.121238338061785
2574,reflecting,7.0909214288523925
2124,navient,7.07144500201979
3099,thought,7.058607810789797
596,balances,7.050217005040668
500,appropriate,7.025098137154855
1909,lifestyle,7.016979138189741
1718,inclusion,7.016979138189741
2070,missing,7.007483452257407
2043,metro,6.962865549232225
464,america,6.961739197816944
3220,unverifiable,6.955175928560042
2794,school,6.942141859443483
1390,failure,6.933136987265312
3003,subsequent,6.932296749293383
1965,low,6.926527179202968
1815,issued,6.9182802262319845
1669,identification,6.904509373728438
779,civil,6.904224644170607
1966,lower,6.892762847324605
1364,explained,6.884413441418894
685,ca,6.875856848861582
1100,demanding,6.86871457320706
2932,ssn,6.862835601167493
758,chase,6.860722993218812
1755,initiate,6.854624440534942
3125,total,6.839504705853886
2415,problems,6.833889400842761
1999,mandatory,6.830014533966214
2945,start,6.826152228515227
2812,seek,6.813298574787183
123,300,6.804072688829924
1367,explanation,6.776668684544861
608,based,6.7687166297741
1745,inform,6.758808586476389
1719,income,6.721820643259217
533,assist,6.720995460376549
2730,resulting,6.71719142078363
2399,prevent,6.711278977069688
2983,stress,6.706318069440735
2275,paperwork,6.700700317389061
1344,exercise,6.698552271132402
1499,freeze,6.686178796462958
2020,means,6.669699274336909
2458,proven,6.663124133884446
2224,opening,6.636444531032009
326,absolutely,6.629606785787605
1022,dated,6.627020411438959
3261,validity,6.626151571693705
1995,management,6.62215130727511
791,clearly,6.620914970592753
1907,lieu,6.6186580882884325
1679,ignored,6.6156573964365615
1488,forward,6.588831086229094
1595,harm,6.566273579812763
1422,fee,6.559297341658708
72,200,6.550466779285228
1805,involved,6.532247189174313
1702,impossible,6.530275062709534
2097,monitoring,6.507780344246653
2003,mark,6.50648454085013
1376,extreme,6.499149569207367
2860,shown,6.49650325190722
356,accurately,6.495684138924303
482,app,6.489211074806864
2194,occur,6.486646790206059
2509,reach,6.480696454805929
2518,real,6.478483902147528
2838,set,6.44111146883117
860,comply,6.439339728008048
381,actually,6.42321892990542
33,15000,6.4190801291331345
801,code,6.407286644894856
1884,legally,6.398728587834292
1206,doesn,6.392194526076871
3189,understanding,6.387678717040456
37,1600,6.386610280005874
989,cras,6.372813735210408
2636,removing,6.3630636560482365
2919,specifically,6.361090356567521
382,add,6.344504250696582
2486,purposes,6.322252522931535
716,cause,6.319391860945451
2064,misinformation,6.288389990910681
2465,providing,6.287984780285236
2520,realized,6.263224898344842
3114,title,6.263199815252602
2839,settle,6.25781092830298
3132,track,6.213776538747419
2168,notifications,6.212590568589824
2484,purpose,6.194924533943608
2492,putting,6.189132341981059
1609,hello,6.14786134179897
811,collector,6.147568798410028
1170,discover,6.144755775135931
2271,pandemic,6.0965798690669075
2961,statute,6.090062882167969
1864,lawsuit,6.070419399734629
548,attachment,6.053796093624119
442,agreements,6.043431442339997
2977,store,6.032993862464629
3066,telephone,6.020560458647536
781,claimed,5.999872371897575
1660,husband,5.989026151006224
2639,reopen,5.988469655961038
501,appropriateness,5.97880133517479
2637,rent,5.974502555425513
2952,statements,5.972062079893294
67,1900,5.96056212551362
2940,standards,5.956282572552463
2626,remains,5.949845893457316
104,250,5.931811100757403
252,700,5.928559637841483
636,birth,5.919943155397329
2998,submit,5.919282252942519
1960,loss,5.918262789784507
2247,outlining,5.912010637519367
124,3000,5.906274004110474
2370,post,5.89955350360876
3331,wells,5.895542672738835
1075,deferment,5.894793104259131
2621,relief,5.891074631567425
385,addition,5.88816173901239
2596,regulatory,5.874470106675533
2303,pending,5.864610898607187
3067,tell,5.843363339895882
80,2015,5.828159808506224
380,actual,5.820367280096717
661,breaches,5.813417831704169
1406,fargo,5.803715992180461
3091,thief,5.794770500707296
1845,known,5.783244448151221
2641,rep,5.775561011664846
2493,qualified,5.765235808957142
964,correspondence,5.7504749341900245
176,450,5.734748917319864
3034,supposed,5.730768114511814
7,10000,5.699436283958006
592,badly,5.691049080728192
1412,fax,5.6856921779712675
1980,maintain,5.684783623733805
1600,havent,5.67590420687381
387,additionally,5.655897075015569
375,active,5.627939851083008
